,Hero,Role,Pick_rate,Win_rate,Tie_Rate,On_fire,Rank,Date,Platform
11,Soldier: 76,OFFENSE,2.51,47.91,1.83,9.62,Gold,2020-05-24 11:56:43.966592,PC
12,Junkrat,DEFENSE,2.50,52.06,2.64,11.56,Gold,2020-05-24 11:56:43.966592,PC
13,Reaper,OFFENSE,2.30,49.97,1.75,13.70,Gold,2020-05-24 11:56:43.966592,PC
14,D.Va,TANK,2.15,48.59,2.09,6.89,Gold,2020-05-24 11:56:43.966592,PC
15,Echo,OFFENSE,2.04,49.51,1.95,7.40,Gold,2020-05-24 11:56:43.966592,PC
16,Winston,TANK,2.00,47.03,1.72,6.16,Gold,2020-05-24 11:56:43.966592,PC
17,Baptiste,SUPPORT,1.99,45.61,2.59,10.87,Gold,2020-05-24 11:56:43.966592,PC
18,Wrecking Ball,TANK,1.92,49.80,1.99,2.80,Gold,2020-05-24 11:56:43.966592,PC
19,Pharah,OFFENSE,1.84,53.85,1.89,14.70,Gold,2020-05-24 11:56:43.966592,PC
20,Brigitte,SUPPORT,1.67,55.43,1.73,8.02,Gold,2020-05-24 11:56:43.966592,PC
21,Doomfist,OFFENSE,1.56,51.06,1.92,7.55,Gold,2020-05-24 11:56:43.966592,PC
22,Orisa,TANK,1.50,50.30,2.02,7.04,Gold,2020-05-24 11:56:43.966592,PC
23,Zenyatta,SUPPORT,1.50,53.18,2.01,9.09,Gold,2020-05-24 11:56:43.966592,PC
24,Hanzo,DEFENSE,1.36,47.80,1.81,10.14,Gold,2020-05-24 11:56:43.966592,PC
25,Tracer,OFFENSE,1.27,49.68,1.69,7.01,Gold,2020-05-24 11:56:43.966592,PC
26,Torbjörn,DEFENSE,1.07,58.27,2.82,7.79,Gold,2020-05-24 11:56:43.966592,PC
27,Widowmaker,DEFENSE,0.92,49.96,1.15,5.99,Gold,2020-05-24 11:56:43.966592,PC
28,Mei,DEFENSE,0.84,46.88,2.04,7.18,Gold,2020-05-24 11:56:43.966592,PC
29,Symmetra,SUPPORT,0.73,58.52,2.89,9.39,Gold,2020-05-24 11:56:43.966592,PC
30,Sombra,OFFENSE,0.49,46.19,1.73,12.57,Gold,2020-05-24 11:56:43.966592,PC
31,Bastion,DEFENSE,0.31,55.88,2.52,16.23,Gold,2020-05-24 11:56:43.966592,PC
0,Reinhardt,TANK,12.96,52.26,2.67,7.31,Platinum,2020-05-24 11:57:34.194215,PC
1,Ana,SUPPORT,11.74,50.40,2.48,10.33,Platinum,2020-05-24 11:57:34.194215,PC
2,Zarya,TANK,8.32,53.60,2.53,13.17,Platinum,2020-05-24 11:57:34.194215,PC
3,Moira,SUPPORT,7.68,50.68,2.52,10.89,Platinum,2020-05-24 11:57:34.194215,PC
4,Mercy,SUPPORT,6.28,52.58,2.45,2.75,Platinum,2020-05-24 11:57:34.194215,PC
5,McCree,OFFENSE,5.21,47.72,1.84,8.94,Platinum,2020-05-24 11:57:34.194215,PC
6,Ashe,OFFENSE,4.20,54.32,2.19,10.38,Platinum,2020-05-24 11:57:34.194215,PC
7,Lúcio,SUPPORT,4.12,52.47,1.97,12.03,Platinum,2020-05-24 11:57:34.194215,PC
8,Roadhog,TANK,3.70,50.96,1.75,10.12,Platinum,2020-05-24 11:57:34.194215,PC
9,Genji,OFFENSE,3.41,51.07,2.31,12.40,Platinum,2020-05-24 11:57:34.194215,PC
10,Sigma,TANK,2.69,51.17,2.27,13.64,Platinum,2020-05-24 11:57:34.194215,PC
11,Wrecking Ball,TANK,2.20,51.69,1.76,3.18,Platinum,2020-05-24 11:57:34.194215,PC
12,Soldier: 76,OFFENSE,2.17,51.94,1.97,10.03,Platinum,2020-05-24 11:57:34.194215,PC
13,Echo,OFFENSE,2.00,51.30,1.96,7.69,Platinum,2020-05-24 11:57:34.194215,PC
14,Winston,TANK,1.88,47.48,1.61,6.50,Platinum,2020-05-24 11:57:34.194215,PC
15,Doomfist,OFFENSE,1.79,53.73,1.91,7.44,Platinum,2020-05-24 11:57:34.194215,PC
16,Baptiste,SUPPORT,1.73,47.42,2.66,12.01,Platinum,2020-05-24 11:57:34.194215,PC
17,Hanzo,DEFENSE,1.68,47.65,2.26,10.89,Platinum,2020-05-24 11:57:34.194215,PC
18,Brigitte,SUPPORT,1.67,56.68,1.49,7.15,Platinum,2020-05-24 11:57:34.194215,PC
19,Tracer,OFFENSE,1.63,48.92,1.33,7.44,Platinum,2020-05-24 11:57:34.194215,PC
20,Reaper,OFFENSE,1.62,52.49,1.86,13.09,Platinum,2020-05-24 11:57:34.194215,PC
21,D.Va,TANK,1.57,49.53,1.85,6.69,Platinum,2020-05-24 11:57:34.194215,PC
22,Zenyatta,SUPPORT,1.51,54.70,1.77,8.13,Platinum,2020-05-24 11:57:34.194215,PC
23,Junkrat,DEFENSE,1.50,54.83,3.03,11.28,Platinum,2020-05-24 11:57:34.194215,PC
24,Widowmaker,DEFENSE,1.42,50.54,1.66,7.21,Platinum,2020-05-24 11:57:34.194215,PC
25,Pharah,OFFENSE,1.27,55.72,1.80,15.97,Platinum,2020-05-24 11:57:34.194215,PC
26,Orisa,TANK,1.14,50.83,1.56,7.22,Platinum,2020-05-24 11:57:34.194215,PC
27,Torbjörn,DEFENSE,0.98,58.67,2.86,7.45,Platinum,2020-05-24 11:57:34.194215,PC
28,Mei,DEFENSE,0.65,50.52,2.80,5.98,Platinum,2020-05-24 11:57:34.194215,PC
29,Symmetra,SUPPORT,0.59,58.79,2.83,9.05,Platinum,2020-05-24 11:57:34.194215,PC
30,Sombra,OFFENSE,0.47,48.14,1.68,12.42,Platinum,2020-05-24 11:57:34.194215,PC
31,Bastion,DEFENSE,0.22,56.69,1.60,15.62,Platinum,2020-05-24 11:57:34.194215,PC
0,Reinhardt,TANK,13.57,53.54,2.66,7.13,Diamond,2020-05-24 11:58:23.985963,PC
1,Ana,SUPPORT,12.88,52.25,2.32,10.83,Diamond,2020-05-24 11:58:23.985963,PC
2,Zarya,TANK,8.74,55.04,2.63,14.53,Diamond,2020-05-24 11:58:23.985963,PC
3,Moira,SUPPORT,6.34,51.74,2.45,10.77,Diamond,2020-05-24 11:58:23.985963,PC
4,McCree,OFFENSE,5.57,49.42,1.99,8.81,Diamond,2020-05-24 11:58:23.985963,PC
5,Mercy,SUPPORT,5.19,53.88,2.15,2.87,Diamond,2020-05-24 11:58:23.985963,PC
6,Lúcio,SUPPORT,5.02,52.28,2.38,11.79,Diamond,2020-05-24 11:58:23.985963,PC
7,Ashe,OFFENSE,3.99,54.93,2.28,11.07,Diamond,2020-05-24 11:58:23.985963,PC
8,Roadhog,TANK,3.66,52.05,1.55,10.44,Diamond,2020-05-24 11:58:23.985963,PC
9,Genji,OFFENSE,3.46,52.93,2.18,13.30,Diamond,2020-05-24 11:58:23.985963,PC
10,Sigma,TANK,2.97,53.00,2.16,14.27,Diamond,2020-05-24 11:58:23.985963,PC
11,Wrecking Ball,TANK,2.31,53.23,1.73,3.20,Diamond,2020-05-24 11:58:23.985963,PC
12,Brigitte,SUPPORT,2.07,57.73,1.93,6.01,Diamond,2020-05-24 11:58:23.985963,PC
13,Tracer,OFFENSE,2.05,51.04,1.58,7.37,Diamond,2020-05-24 11:58:23.985963,PC
14,Echo,OFFENSE,1.99,54.19,2.13,7.74,Diamond,2020-05-24 11:58:23.985963,PC
15,Winston,TANK,1.99,49.35,1.92,6.54,Diamond,2020-05-24 11:58:23.985963,PC
16,Hanzo,DEFENSE,1.96,48.16,2.07,11.05,Diamond,2020-05-24 11:58:23.985963,PC
17,Widowmaker,DEFENSE,1.95,51.81,1.47,7.00,Diamond,2020-05-24 11:58:23.985963,PC
18,Soldier: 76,OFFENSE,1.85,53.39,1.92,9.52,Diamond,2020-05-24 11:58:23.985963,PC
19,Doomfist,OFFENSE,1.76,54.33,1.86,7.17,Diamond,2020-05-24 11:58:23.985963,PC
20,Baptiste,SUPPORT,1.56,48.95,2.79,12.50,Diamond,2020-05-24 11:58:23.985963,PC
21,Zenyatta,SUPPORT,1.48,56.84,1.66,7.11,Diamond,2020-05-24 11:58:23.985963,PC
22,D.Va,TANK,1.35,48.66,2.12,6.26,Diamond,2020-05-24 11:58:23.985963,PC
23,Torbjörn,DEFENSE,1.14,56.24,2.50,6.57,Diamond,2020-05-24 11:58:23.985963,PC
24,Orisa,TANK,1.14,49.17,1.36,7.33,Diamond,2020-05-24 11:58:23.985963,PC
25,Reaper,OFFENSE,0.96,53.65,1.71,12.52,Diamond,2020-05-24 11:58:23.985963,PC
26,Pharah,OFFENSE,0.81,55.99,1.57,17.39,Diamond,2020-05-24 11:58:23.985963,PC
27,Junkrat,DEFENSE,0.76,58.21,2.40,10.18,Diamond,2020-05-24 11:58:23.985963,PC
28,Mei,DEFENSE,0.57,49.54,3.38,5.89,Diamond,2020-05-24 11:58:23.985963,PC
29,Symmetra,SUPPORT,0.42,57.87,2.36,7.98,Diamond,2020-05-24 11:58:23.985963,PC
30,Sombra,OFFENSE,0.38,51.91,1.70,13.02,Diamond,2020-05-24 11:58:23.985963,PC
31,Bastion,DEFENSE,0.14,56.19,2.61,15.90,Diamond,2020-05-24 11:58:23.985963,PC
0,Reinhardt,TANK,13.46,54.65,2.34,6.76,Master,2020-05-24 11:59:13.886732,PC
1,Ana,SUPPORT,12.45,52.46,2.41,10.73,Master,2020-05-24 11:59:13.886732,PC
2,Zarya,TANK,7.38,54.39,2.48,14.34,Master,2020-05-24 11:59:13.886732,PC
3,Lúcio,SUPPORT,6.10,51.49,2.02,11.32,Master,2020-05-24 11:59:13.886732,PC
4,McCree,OFFENSE,5.31,48.87,1.76,8.28,Master,2020-05-24 11:59:13.886732,PC
5,Mercy,SUPPORT,5.10,52.95,2.34,2.61,Master,2020-05-24 11:59:13.886732,PC
6,Moira,SUPPORT,4.51,49.95,2.47,10.51,Master,2020-05-24 11:59:13.886732,PC
7,Ashe,OFFENSE,3.71,57.11,2.05,11.63,Master,2020-05-24 11:59:13.886732,PC
8,Brigitte,SUPPORT,3.47,53.86,2.34,4.92,Master,2020-05-24 11:59:13.886732,PC
9,Sigma,TANK,3.38,49.71,1.76,12.66,Master,2020-05-24 11:59:13.886732,PC
10,Roadhog,TANK,3.05,51.43,1.87,9.84,Master,2020-05-24 11:59:13.886732,PC
11,Genji,OFFENSE,3.03,54.10,2.37,12.49,Master,2020-05-24 11:59:13.886732,PC
12,Wrecking Ball,TANK,2.97,50.90,1.46,3.30,Master,2020-05-24 11:59:13.886732,PC
13,Hanzo,DEFENSE,2.70,46.34,1.91,10.24,Master,2020-05-24 11:59:13.886732,PC
14,Widowmaker,DEFENSE,2.51,52.84,1.94,7.11,Master,2020-05-24 11:59:13.886732,PC
15,Tracer,OFFENSE,2.48,52.69,1.48,6.78,Master,2020-05-24 11:59:13.886732,PC
16,Winston,TANK,2.32,51.52,1.99,6.13,Master,2020-05-24 11:59:13.886732,PC
17,Orisa,TANK,1.86,48.13,2.55,7.01,Master,2020-05-24 11:59:13.886732,PC
18,Doomfist,OFFENSE,1.83,53.71,1.93,5.91,Master,2020-05-24 11:59:13.886732,PC
19,Echo,OFFENSE,1.74,52.74,1.71,7.69,Master,2020-05-24 11:59:13.886732,PC
20,Torbjörn,DEFENSE,1.49,57.82,2.54,6.52,Master,2020-05-24 11:59:13.886732,PC
21,Soldier: 76,OFFENSE,1.46,49.95,1.49,8.53,Master,2020-05-24 11:59:13.886732,PC
